;t;H0;H1;H2;H3;H4;H5;H6;H7
0;0.0;-0.0;7.386127300057499e-19;-0.0;-0.0;-0.0;-0.0;-0.0;8.673617379884035e-19
1;5.0;3.5175181367586573e-06;-0.0;-0.0;-0.0;0.006262170925042715;-0.0;0.0077221174088480185;-0.0
2;10.0;6.432033164358687e-06;-0.0;-0.0;-0.0;0.013361334192772065;-0.0;0.01564975679878879;-0.0
3;15.0;8.140541973641459e-06;-0.0;-0.0;0.000258318575392295;0.02038927146577188;-0.0;0.023032619190355527;-0.0
4;20.0;8.040041455448355e-06;-0.0;0.00041330674230059166;0.0006524980250871937;0.026437764406626024;-0.0;0.02912040560408143;-0.0
5;25.0;5.527528500620745e-06;-0.0;0.0005440036765056661;0.0006721122116966089;0.030598594677918325;-0.0;0.033162817060499714;-0.0
6;30.0;-0.0;-0.0;-0.0;-0.0;0.03196354394223265;-0.0;0.0344095545801436;3.469446951953614e-18
7;35.0;-0.0;0.00032544277472422163;-0.0;-0.0;0.02994578501267932;0.00028739017907691876;0.032382707682733304;0.006058453208215068
8;40.0;-0.0;0.000443500527766203;-0.0;-0.0;0.0252440553044747;0.00039592565894861685;0.027693919884737118;0.013499261737612674
9;45.0;-0.0;0.0004120791929703583;-0.0;-0.0;0.018878483383361625;0.00037353041029593466;0.021227223201810384;0.021207040628796255
10;50.0;-0.0;0.0002890847041811002;-0.0;-0.0;0.011869197815082918;0.00026812840379971113;0.013866649649608398;0.02806640492236922
11;55.0;-0.0;0.00013242299524284307;-0.0;-0.0;0.0052363271653814315;0.00012764361014078648;0.006496231243786498;0.03296196965893501
12;60.0;4.0657581468206416e-20;1.3552527156068805e-19;1.214306433183765e-17;8.673617379884035e-18;3.3610267347050637e-18;1.2197274440461925e-19;-0.0;0.03477834987909701
13;65.0;3.065265804889693e-05;-0.0;0.00634766210584455;0.006609368927041226;-0.0;-0.0;-0.0;0.03277723377795227
14;70.0;6.432033164358694e-05;-0.0;0.014456944862895907;0.014947684629155019;-0.0;-0.0;-0.0;0.027728602168572213
15;75.0;8.954596171005618e-05;-0.0;0.023058790223888563;0.023602423025104416;-0.0;-0.0;-0.0;0.02077950901852191
16;80.0;9.487248917429067e-05;-0.0;0.030884140141556972;0.031161060033652405;-0.0;-0.0;-0.0;0.013077008295366413
17;85.0;6.884285496227662e-05;1.6826590025061664e-05;0.03666393656863563;0.03621107157356204;-0.0;-0.0;-0.0;0.005768153966670758
